Course Code Start End Location Days
BIOLOGY 1002B 18:00 21:00 NCB-320 M
BIOLOGY 1202B 10:30 11:30 NS-145 MW
BIOLOGY 1202B 09:30 12:30 NCB-320 T
BIOLOGY 1202B 09:30 12:30 NCB-309 T
BIOLOGY 1202B 09:30 12:30 NCB-309 F
BIOLOGY 1202B 14:30 17:30 NCB-340 T
BIOLOGY 1202B 14:30 17:30 NCB-310 W
BIOLOGY 1202B 14:30 17:30 NCB-310 H
BIOLOGY 1202B 14:30 17:30 NCB-310 F
BIOLOGY 1202B 14:30 17:30 NCB-320 T
BIOLOGY 1202B 14:30 17:30 NCB-320 W
BIOLOGY 1202B 18:00 21:00 NCB-309 M
BIOLOGY 1290B 13:30 14:30 MC-110 TH
BIOLOGY 1290B 14:30 15:30 MC-110 T
BIOLOGY 2217B 11:30 12:30 NSC-1 TH
BIOLOGY 2217B 14:30 17:30 B&GS-3000 T
BIOLOGY 2217B 14:30 17:30 B&GS-3000 M
BIOLOGY 2217B 14:30 17:30 B&GS-3000 H
BIOLOGY 2217B 08:30 11:30 B&GS-3000 H
BIOLOGY 2244B 12:30 13:30 HSB-40 WF
BIOLOGY 2244B 15:30 16:30 NCB-101 TH
BIOLOGY 2244B 18:30 21:30 HSB-16 T
BIOLOGY 2244B 18:30 21:30 NCB-105 T
BIOLOGY 2244B 18:30 21:30 HSB-14 W
BIOLOGY 2244B 18:30 21:30 HSB-16 W
BIOLOGY 2244B 18:30 21:30 HSB-14 H
BIOLOGY 2244B 13:30 16:30 HSB-14 T
BIOLOGY 2244B 13:30 16:30 HSB-13 W
BIOLOGY 2244B 18:30 21:30 NCB-105 H
BIOLOGY 2244B 13:30 16:30 HSB-16 T
BIOLOGY 2290G 14:30 17:30 NCB-330 MW
BIOLOGY 2290G 08:30 11:30 NCB-330 TH
BIOLOGY 2290G 14:30 17:30 NCB-330 TH
BIOLOGY 2290G 14:30 17:30 NCB-325 MW
BIOLOGY 2290G 08:30 11:30 NCB-325 TH
BIOLOGY 2290G 14:30 17:30 NCB-325 TH
BIOLOGY 2290G 14:30 17:30 NCB-331 MW
BIOLOGY 2290G 08:30 11:30 NCB-331 TH
BIOLOGY 2290G 14:30 17:30 NCB-331 TH
BIOLOGY 2290G 14:30 17:30 NCB-117 MW
BIOLOGY 2290G 08:30 11:30 NCB-117 TH
BIOLOGY 2290G 14:30 17:30 NCB-117 TH
BIOLOGY 2290G 18:30 21:30 NCB-114 MW
BIOLOGY 2290G 18:30 21:30 NCB-117 MW
BIOLOGY 2382B 13:30 14:30 NCB-101 MW
BIOLOGY 2382B 11:30 12:30 NCB-101 MW
BIOLOGY 2485B 13:30 14:30 WSC-55 TH
BIOLOGY 2485B 11:30 13:30 NCB-296 T
BIOLOGY 2485B 14:30 16:30 UCC-54B T
BIOLOGY 2485B 11:30 13:30 STVH-3101 W
BIOLOGY 2485B 14:30 16:30 TC-203 W
BIOLOGY 2485B 11:30 13:30 STVH-3101 H
BIOLOGY 2485B 14:30 16:30 MC-17 H
BIOLOGY 2581B 09:30 10:30 NS-145 MW
BIOLOGY 2581B 13:30 14:30 NS-145 TH
BIOLOGY 2581B 11:30 13:30 TC-202 M
BIOLOGY 2581B 13:30 15:30 P&AB-117 M
BIOLOGY 2581B 15:30 17:30 P&AB-150 M
BIOLOGY 2581B 09:30 11:30 B&GS-0165 T
BIOLOGY 2581B 11:30 13:30 P&AB-148 T
BIOLOGY 2581B 15:30 17:30 P&AB-117 T
BIOLOGY 2581B 15:30 17:30 P&AB-36 T
BIOLOGY 2581B 15:30 17:30 B&GS-0165 T
BIOLOGY 2581B 11:30 13:30 NCB-296 W
BIOLOGY 2581B 15:30 17:30 KB-K103 W
BIOLOGY 2581B 11:30 13:30 NCB-296 H
BIOLOGY 2581B 13:30 15:30 HSB-236 H
BIOLOGY 2581B 15:30 17:30 P&AB-117 H
BIOLOGY 2581B 09:30 11:30 KB-K208 F
BIOLOGY 2581B 09:30 11:30 P&AB-36 F
BIOLOGY 2581B 11:30 13:30 B&GS-0165 F
BIOLOGY 2581B 13:30 15:30 P&AB-36 F
BIOLOGY 2581B 13:30 15:30 B&GS-0153 F
BIOLOGY 2581B 15:30 17:30 B&GS-0165 F
BIOLOGY 3218G 11:30 12:30 KB-K203 MW
BIOLOGY 3218G 14:30 17:30 B&GS-2065 W
BIOLOGY 3218G 14:30 17:30 P&AB-117 W
BIOLOGY 3222G 09:30 11:30 AHB-2B04 W
BIOLOGY 3222G 09:30 10:30 AHB-2B04 F
BIOLOGY 3229G 11:30 13:30 P&AB-34 W
BIOLOGY 3229G 08:30 11:30 CHB-390 H
BIOLOGY 3229G 14:30 17:30 CHB-390 H
BIOLOGY 3229G 14:30 17:30 CHB-390 W
BIOLOGY 3316B 11:30 12:30 B&GS-0165 MW
BIOLOGY 3316B 14:30 16:30 WSC-240 H
BIOLOGY 3316B 14:30 16:30 B&GS-0153 H
BIOLOGY 3326G 09:30 10:30 B&GS-1056 T
