Course Code Start End Location Days
BIOLOGY 1001A 14:30 17:30 NCB-309 T
BIOLOGY 1001A 14:30 17:30 NCB-309 W
BIOLOGY 1001A 14:30 17:30 NCB-309 H
BIOLOGY 1001A 18:00 21:00 NCB-310 M
BIOLOGY 1001A 18:00 21:00 NCB-320 M
BIOLOGY 1201A 10:30 11:30 NS-145 MW
BIOLOGY 1201A 09:30 12:30 NCB-320 T
BIOLOGY 1201A 09:30 12:30 NCB-309 T
BIOLOGY 1201A 14:30 17:30 NCB-310 T
BIOLOGY 1201A 14:30 17:30 NCB-310 W
BIOLOGY 1201A 14:30 17:30 NCB-310 H
BIOLOGY 1201A 14:30 17:30 NCB-310 F
BIOLOGY 1201A 14:30 17:30 NCB-320 T
BIOLOGY 1201A 14:30 17:30 NCB-320 W
BIOLOGY 1201A 18:00 21:00 NCB-309 M
BIOLOGY 2244A 10:30 11:30 SSC-2050 MW
BIOLOGY 2244A 16:30 17:30 SSC-2050 TH
BIOLOGY 2244A 18:30 21:30 HSB-14 T
BIOLOGY 2244A 18:30 21:30 HSB-16 T
BIOLOGY 2244A 18:30 21:30 HSB-16 W
BIOLOGY 2244A 18:30 21:30 NCB-105 W
BIOLOGY 2244A 18:30 21:30 HSB-14 H
BIOLOGY 2244A 18:30 21:30 HSB-16 H
BIOLOGY 2244A 11:30 14:30 NCB-105 F
BIOLOGY 2244A 13:30 16:30 HSB-13 T
BIOLOGY 2244A 13:30 16:30 HSB-14 T
BIOLOGY 2244A 13:30 16:30 HSB-14 H
BIOLOGY 2244A 13:30 16:30 HSB-16 H
BIOLOGY 2244A 18:30 21:30 NCB-105 T
BIOLOGY 2244A 18:30 21:30 NCB-105 H
BIOLOGY 2483A 11:30 12:30 NS-145 TH
BIOLOGY 2483A 08:30 10:30 NCB-105 W
BIOLOGY 2483A 10:30 12:30 SH-1310 W
BIOLOGY 2483A 10:30 12:30 NCB-105 W
BIOLOGY 2483A 15:30 17:30 HSB-14 W
BIOLOGY 2483A 15:30 17:30 NCB-105 W
BIOLOGY 2483A 08:30 10:30 SH-1310 F
BIOLOGY 2483A 10:30 12:30 HSB-14 F
BIOLOGY 2483A 10:30 12:30 SH-1310 F
BIOLOGY 2601A 12:30 13:30 NS-145 TH
BIOLOGY 2601A 08:30 11:30 CHB-390 M
BIOLOGY 2601A 14:30 17:30 CHB-390 M
BIOLOGY 2601A 08:30 11:30 CHB-390 T
BIOLOGY 2601A 14:30 17:30 CHB-390 T
BIOLOGY 2601A 08:30 11:30 CHB-390 W
BIOLOGY 2601A 14:30 17:30 CHB-390 W
BIOLOGY 2601A 08:30 11:30 CHB-390 H
BIOLOGY 2601A 14:30 17:30 CHB-390 H
BIOLOGY 2601A 08:30 11:30 CHB-390 F
BIOLOGY 2601A 08:30 11:30 B&GS-3015 M
BIOLOGY 2601A 14:30 17:30 B&GS-3015 M
BIOLOGY 2601A 08:30 11:30 B&GS-3015 T
BIOLOGY 2601A 14:30 17:30 B&GS-3015 T
BIOLOGY 2601A 08:30 11:30 B&GS-3015 W
BIOLOGY 2601A 14:30 17:30 B&GS-3015 W
BIOLOGY 2601A 08:30 11:30 B&GS-3015 H
BIOLOGY 2601A 14:30 17:30 B&GS-3015 H
BIOLOGY 2601A 08:30 11:30 B&GS-3015 F
BIOLOGY 3224F 16:30 18:00 UCC-66 TH
BIOLOGY 3326F 09:30 10:30 P&AB-150 T
BIOLOGY 3326F 13:30 17:30 B&GS-3077 H
BIOLOGY 3326F 13:30 17:30 B&GS-3077 W
BIOLOGY 3338A 12:30 13:30 B&GS-0153 MW
BIOLOGY 3338A 10:30 11:30 UCC-54B M
BIOLOGY 3338A 10:30 11:30 MC-17 W
BIOLOGY 3338A 10:30 11:30 AHB-2B04 M
BIOLOGY 3338A 10:30 11:30 KB-K106 W
BIOLOGY 3355A 09:30 10:30 B&GS-0153 WF
BIOLOGY 3355A 13:30 14:30 B&GS-1056 T
BIOLOGY 3355A 11:30 12:30 P&AB-34 H
BIOLOGY 3404F 09:30 10:30 AHB-2B04 MT
BIOLOGY 3404F 09:30 12:30 B&GS-3000 W
BIOLOGY 3436F 13:30 14:30 MC-105B TH
BIOLOGY 3436F 14:30 17:30 SH-1310 M
BIOLOGY 3436F 14:30 17:30 HSB-16 W
BIOLOGY 3436F 08:30 11:30 NCB-105 F
BIOLOGY 3436F 14:30 17:30 HSB-16 T
BIOLOGY 3436F 14:30 17:30 NCB-105 H
BIOLOGY 3440A 12:30 13:30 P&AB-34 TH
BIOLOGY 3440A 14:30 17:30 SSC-1000 M
BIOLOGY 3440A 09:30 12:30 SSC-1000 T
BIOLOGY 3440A 14:30 17:30 SSC-1000 T
BIOLOGY 3442F 11:30 12:30 B&GS-0165 WF
BIOLOGY 3442F 14:30 17:30 UCC-54A T
BIOLOGY 3442F 14:30 17:30 UCC-54B T
BIOLOGY 3442F 14:30 17:30 P&AB-34 T
BIOLOGY 3444F 10:30 12:30 P&AB-34 T
BIOLOGY 3444F 11:30 12:30 B&GS-0153 H
BIOLOGY 3445F 12:30 13:30 B&GS-1056 MW
BIOLOGY 3445F 14:30 17:30 B&GS-2077 H
BIOLOGY 3445F 14:30 17:30 B&GS-2077 W
BIOLOGY 3445F 09:30 12:30 B&GS-2077 H
BIOLOGY 3475A 13:30 16:30 NCB-114 F
BIOLOGY 3484A 12:30 13:30 UCC-56 TH
BIOLOGY 3484A 15:30 17:30 CHB-9 T
BIOLOGY 3484A 15:30 17:30 MC-17 T
BIOLOGY 3484A 15:30 17:30 P&AB-36 T
BIOLOGY 3484A 09:30 11:30 WSC-240 H
BIOLOGY 3484A 09:30 11:30 KB-K106 H
BIOLOGY 3592A 13:30 14:30 WSC-55 TH
BIOLOGY 3592A 13:30 14:30 SH-3345 W
BIOLOGY 3592A 13:30 14:30 CHB-9 W
BIOLOGY 3592A 13:30 14:30 B&GS-0153 W
BIOLOGY 3594A 12:30 13:30 P&AB-106 TH
BIOLOGY 3594A 13:30 14:30 B&GS-1056 M
BIOLOGY 3594A 14:30 15:30 P&AB-150 H
BIOLOGY 3595A 09:30 10:30 B&GS-0153 TH
BIOLOGY 3595A 15:30 16:30 B&GS-0165 H
BIOLOGY 3595A 16:30 17:30 B&GS-0165 H
BIOLOGY 3598A 09:30 10:30 WSC-240 MW
BIOLOGY 3598A 14:30 16:30 SH-1310 F
BIOLOGY 3598A 14:30 16:30 B&GS-1056 F
BIOLOGY 3601A 10:30 11:30 B&GS-0153 MWF
BIOLOGY 3601A 09:30 11:30 NCB-105 T
BIOLOGY 3601A 13:30 15:30 SH-1310 T
BIOLOGY 3601A 14:30 16:30 SH-1310 W
BIOLOGY 3601A 09:30 11:30 SH-1310 H
BIOLOGY 3603A 11:30 12:30 AHB-1B02 M
BIOLOGY 3603A 11:30 12:30 AHB-1B04 W
BIOLOGY 3603A 14:30 17:30 B&GS-2065 M
BIOLOGY 3603A 14:30 17:30 B&GS-2065 T
BIOLOGY 3603A 14:30 17:30 B&GS-2065 W
BIOLOGY 4218A 11:30 12:30 P&AB-150 TH
BIOLOGY 4218A 13:30 16:30 B&GS-2065 H
BIOLOGY 4223F 14:30 16:30 P&AB-150 W
BIOLOGY 4223F 16:30 17:30 P&AB-150 W
BIOLOGY 4230A 09:30 11:30 P&AB-36 T
BIOLOGY 4230A 09:30 10:30 P&AB-36 H
BIOLOGY 4355F 11:30 12:30 B&GS-1056 TH
BIOLOGY 4410F 14:30 16:30 B&GS-0153 H
BIOLOGY 4410F 16:30 17:30 B&GS-0153 H
BIOLOGY 4420A 12:30 14:30 B&GS-1056 H
BIOLOGY 4420A 09:30 12:30 B&GS-3000 F
BIOLOGY 4441F 12:30 13:30 P&AB-150 MW
BIOLOGY 4441F 14:30 17:30 P&AB-150 F
BIOLOGY 4561F 08:30 09:30 B&GS-1056 TH
BIOLOGY 4583F 14:30 15:30 P&AB-106 H
BIOLOGY 4583F 13:30 16:30 B&GS-3065 M
BIOLOGY 4583F 13:30 16:30 B&GS-3065 T
BIOLOGY 4583F 13:30 16:30 B&GS-3065 W
BIOLOGY 4920F 14:30 17:30 STVH-3101 T
BIOLOGY 4950F 10:30 13:30 KB-K208 F
BIOSTATS 3100A 10:30 11:30 AHB-1B06 TH
BIOSTATS 3100A 11:30 12:30 KB-K7 H
BUSINESS 2295F 15:30 17:00 SH-3317 MW
CALCULUS 1000A 08:30 09:30 UCC-146 MW
CALCULUS 1000A 08:30 09:30 MC-110 TH
CALCULUS 1000A 12:30 13:30 NSC-1 MTWF
CALCULUS 1000A 13:30 14:30 NSC-1 MWHF
CALCULUS 1000A 13:30 14:30 SEB-2200 MWHF
CALCULUS 1000A 09:30 10:30 SEB-1200 MTWH
CALCULUS 1000A 08:30 09:30 NCB-113 MTWF
CALCULUS 1000A 19:00 21:00 WSC-55 MW
CALCULUS 1000A 14:30 15:30 SSC-2050 MWF
CALCULUS 1000A 14:30 15:30 AHB-1R40 T
CALCULUS 1000A 10:30 11:30 SEB-2200 MWHF
CALCULUS 1000A 19:00 21:00 UCC-146 TH
CALCULUS 1000A 16:30 18:30 KC-LH101 TH
CALCULUS 1500A 08:30 09:30 B&GS-0165 MTWF
CALCULUS 2302A 13:30 14:30 P&AB-148 MWF
CALCULUS 2402A 13:30 14:30 MC-105B MWF
CALCULUS 2502A 13:30 14:30 P&AB-106 MWF
CGS 1021F 10:30 11:30 HC-V210 T
CGS 1021F 09:30 11:30 HC-V210 H
CGS 1022F 11:30 13:30 HC-W12 T
CGS 1022F 11:30 12:30 HC-W12 H
CGS 1023F 18:00 21:00 HC-W116 W
CGS 2002F 12:30 14:30 HC-W108 M
CGS 2002F 13:30 14:30 HC-W108 W
CGS 2003F 11:30 12:30 HC-A1 W
CGS 2003F 11:30 13:30 HC-A1 F
CGS 2004F 08:30 11:30 HC-V210 M
CGS 3001F 14:30 17:30 HC-V207 W
CGS 3005F 14:30 17:30 HC-V207 M
CGS 3006F 14:30 17:30 HC-W108 T
CGS 3512F 15:30 17:30 HC-W103 T
CGS 3512F 14:30 15:30 HC-W103 H
CGS 3514F 14:30 17:30 HC-W106 M
CGS 3516F 14:30 17:30 HC-W108 H
CGS 3525F 18:00 21:00 HC-W106 T
CGS 4016F 14:30 17:30 HC-W17 M
CBE 2206A 09:30 11:30 NS-7 M
CBE 2206A 09:30 10:30 WSC-55 T
CBE 2206A 08:30 11:30 SEB-1082 H
CBE 2206A 11:30 14:30 SEB-1082 M
CBE 2206A 13:30 16:30 SEB-1082 H
CBE 2206A 18:30 21:30 SEB-1082 T
CBE 2206A 18:30 21:30 SEB-1082 M
CBE 2206A 18:30 21:30 SEB-1082 H
CBE 2206A 18:30 21:30 SEB-1082 W
CBE 2214A 15:30 17:30 SEB-1200 T
CBE 2214A 16:30 17:30 SEB-2200 H
CBE 2214A 13:30 15:30 SEB-2200 T
CBE 2220A 08:30 09:30 SEB-1200 T
CBE 2220A 13:30 15:30 SH-3345 F
CBE 2220A 10:30 12:30 SEB-1200 W
CBE 2290A 15:30 17:30 HSB-35 M
CBE 2290A 09:30 10:30 HSB-236 F
CBE 2290A 08:30 11:30 SEB-2032 H
CBE 2290A 11:30 14:30 SEB-2032 M
CBE 2290A 13:30 16:30 SEB-2032 H
CBE 2290A 18:30 21:30 SEB-2032 T
CBE 3315A 12:30 13:30 SEB-2100 W
CBE 3315A 12:30 14:30 SEB-2100 F
CBE 3315A 10:30 13:30 SEB-2036 M
CBE 3315A 08:30 11:30 SEB-2036 F
CBE 3315A 08:30 11:30 SEB-2036 W
CBE 3315A 11:30 12:30 HSB-240 T
CBE 3315A 14:30 15:30 SEB-2100 F
CBE 3318A 16:30 18:30 SEB-2100 M
CBE 3318A 08:30 10:30 SEB-1012 T
CBE 3322A 13:30 15:30 SEB-2100 M
CBE 3322A 16:30 17:30 SEB-2100 H
CBE 3322A 15:30 16:30 SEB-2100 M
CBE 3325A 17:30 18:30 HSB-240 W
CBE 3325A 13:30 15:30 HSB-236 H
CBE 3325A 15:30 16:30 HSB-236 H
CBE 3330A 11:30 12:30 SEB-2099 M
CBE 3330A 09:30 11:30 EC-2130 F
CBE 3330A 13:30 16:30 SEB-2036 T
CBE 3330A 13:30 16:30 SEB-2036 W
CBE 4404A 08:30 09:30 SEB-3109 M
CBE 4404A 09:30 11:30 SEB-1056 F
CBE 4404A 08:30 09:30 EC-2130 T
CBE 4417A 15:30 17:30 P&AB-117 M
CBE 4417A 14:30 15:30 UCC-37 H
CBE 4417A 16:30 17:30 SEB-2202 T
CBE 4421A 16:30 18:30 TH-3154 T
CBE 4421A 16:30 17:30 SEB-1056 W
CBE 4421A 08:30 09:30 SEB-2202 M
CBE 4493A 13:30 14:30 EC-2130 T
CBE 4493A 10:30 12:30 TH-3154 W
CBE 4493A 15:30 16:30 EC-2130 H
CHEM 1027A 11:30 12:30 TC-309 MW
CHEM 1027A 12:30 13:30 TC-309 M
CHEM 1301A 08:30 09:30 NS-145 MWF
CHEM 1301A 09:30 10:30 NCB-101 MWF
CHEM 1301A 12:30 13:30 NCB-101 MWF
CHEM 1301A 13:30 14:30 NCB-101 MWF
CHEM 1302A 10:30 11:30 NSC-1 MWF
CHEM 1302A 18:00 21:00 MSA-1220 M
CHEM 2210A 13:30 14:30 NS-7 MWF
CHEM 2211A 09:30 10:30 CHB-9 MWF
CHEM 2213A 12:30 13:30 NS-145 MWF
CHEM 2213A 13:30 14:30 NS-145 MWF
CHEM 2271A 08:30 09:30 UCC-37 MWF
CHEM 2272F 12:30 13:30 B&GS-0165 MWF
CHEM 2273A 09:30 10:30 UCC-37 MWF
CHEM 2374A 11:30 12:30 NSC-1 MWF
CHEM 3330F 12:30 13:30 CHB-9 MWF
CHEM 3371F 08:30 09:30 KB-K106 MWF
CHEM 3373F 09:30 10:30 KB-K106 MWF
CHEM 3374A 11:30 12:30 SEB-2100 MWH
CHEM 3374A 11:30 12:30 KB-K106 F
CHEM 4472A 09:30 11:30 CHB-115 T
CHEM 4472A 09:30 10:30 CHB-115 H
CHEM 4481A 12:30 13:30 CHB-115 MWF
CHEM 4493A 09:30 10:30 CHB-115 MWF
CSI 1025F 09:30 11:30 KC-W168 M
CSI 1025F 11:30 12:30 KC-W175 M
CSI 1025F 11:30 12:30 KC-LH105B M
CSI 1025F 11:30 12:30 KC-DL012 M
CSI 1025F 11:30 12:30 KC-W178 M
CSI 2220F 15:30 18:30 KC-W166 H
CSI 2251F 09:30 12:30 KC-BH103 F
CSI 2252F 15:30 18:30 KC-KC004 W
CSI 2255F 15:30 18:30 KC-KC005 T
CSI 3300F 09:30 12:30 KC-LH101 W
CSI 3311F 15:30 18:30 KC-FB110 M
CSI 3320F 12:30 15:30 KC-KC005 W
CSI 3352F 12:30 15:30 KC-W164 M
CSI 3360F 09:30 12:30 KC-FB003 T
CSI 4411F 12:30 15:30 KC-FB110 T
CHINESE 1651F 14:30 17:30 HC-W8 T
CHINESE 2240F 14:30 17:30 HC-W101 T
CHINESE 2242F 14:30 17:30 HC-W103 W
CHINESE 2243F 14:30 17:30 HC-W106 W
CHINESE 2245F 08:30 11:30 HC-W108 M
CHINESE 2651F 14:30 16:30 HC-W6 T
CHINESE 2651F 14:30 15:30 HC-W6 H
CHINESE 3340A 08:30 10:30 HC-W18 MW
CHINESE 4452A 13:30 15:30 HC-W18 TH
CHURCH 5104A 08:30 11:30 HC-V210 W
CHURCH 5233A 11:30 14:30 HC-W17 M
CEE 2202A 14:30 15:30 NS-145 T
CEE 2202A 13:30 15:30 SEB-2100 H
CEE 2202A 15:30 18:30 3M-3250 F
CEE 2217A 10:30 12:30 SEB-2100 T
CEE 2217A 14:30 15:30 SEB-2100 W
CEE 2217A 15:30 17:30 SEB-2100 W
CEE 2220A 09:30 10:30 SEB-2100 T
CEE 2220A 09:30 11:30 SEB-2100 H
CEE 2220A 10:30 12:30 SEB-2202 M
CEE 2220A 12:30 13:30 SEB-2202 M
CEE 3321A 17:30 18:30 SEB-2202 TH
CEE 3321A 12:30 16:30 SEB-3109 M
CEE 3327A 14:30 16:30 STVH-1119 W
CEE 3327A 14:30 15:30 SH-3305 F
CEE 3340A 11:30 12:30 SEB-1059 TH
CEE 3340A 09:30 10:30 SEB-2202 F
CEE 3340A 09:30 11:30 SSC-2020 W
CEE 3344A 13:30 14:30 HSB-236 W
CEE 3344A 09:30 10:30 SEB-2202 H
CEE 3344A 15:30 17:30 TC-204 H
CEE 3347A 09:30 11:30 UCC-37 T
CEE 3347A 11:30 12:30 UCC-37 W
CEE 3347A 13:30 16:30 UCC-37 T
CEE 3348A 19:00 21:00 SEB-2202 T
CEE 3348A 19:00 22:00 SEB-1015 M
CEE 3362A 12:30 13:30 UCC-67 W
CEE 3362A 12:30 14:30 UCC-67 F
CEE 3362A 15:30 16:30 SEB-1056 W
CEE 3362A 16:30 18:30 SEB-015 W
CEE 3362A 08:30 09:30 SEB-2099 M
CEE 3362A 09:30 11:30 SEB-015 M
CEE 3386A 16:30 17:30 SEB-3109 M
CEE 3386A 08:30 09:30 HSB-11 T
CEE 3386A 13:30 14:30 HSB-11 W
CEE 3386A 13:30 16:30 SEB-1015 H
